GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,EmptyIterators,11,47,1,3,2,10,2,6,1,5
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,SinglePartitionReadCommand.VirtualTableSinglePartitionReadCommand,3,51,0,0,1,7,1,4,1,4
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,Slices.ArrayBackedSlices,502,67,73,7,96,14,45,10,8,7
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,Mutation.SizeOnlyCacheableSerialization,6,39,1,3,2,7,2,2,1,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,CassandraTableWriteHandler,0,21,0,0,0,7,0,2,0,2
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,MessageParams,15,28,0,2,5,9,3,5,3,4
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,CassandraKeyspaceWriteHandler,71,58,12,6,22,18,10,5,3,3
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,ExpirationDateOverflowHandling,132,42,13,4,17,13,10,4,2,3
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,SSTableImporter,877,10,76,0,164,4,50,2,12,2
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,Slices.Serializer,20,113,8,14,4,25,8,7,0,4
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,SinglePartitionReadCommand.Group,0,67,0,4,0,12,0,7,0,5
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,CounterMutation.CounterMutationSerializer,0,43,0,0,0,9,0,4,0,4
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,SystemKeyspace.BootstrapState,0,44,0,0,0,5,0,1,0,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,ReadCommand.Kind,0,34,0,0,0,6,0,2,0,2
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,SystemKeyspaceMigrator41,325,457,44,22,29,51,32,16,5,10
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,PartitionPosition.RowPositionSerializer,27,63,3,5,6,15,3,5,0,4
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,ArrayClusteringBoundary,31,31,0,0,4,5,3,4,3,4
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,BufferClusteringBoundOrBoundary,1,15,1,3,0,3,1,2,0,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,SinglePartitionReadCommand.Deserializer,0,29,0,0,0,3,0,1,0,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,Keyspace,572,717,71,67,104,158,64,59,17,37
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,Mutation,286,266,42,9,57,57,31,25,8,22
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,SSTableImporter.MovedSSTable,32,0,0,0,6,0,2,0,2,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,CounterMutationVerbHandler,0,39,0,0,0,10,0,4,0,4
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,CounterMutation,124,464,24,37,21,103,24,31,4,20
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,DiskBoundaryManager,18,296,7,31,1,54,7,20,0,8
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,Directories.DataDirectory,23,50,3,5,6,11,6,6,3,5
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,Slice.Serializer,0,52,0,0,0,9,0,4,0,4
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,ClusteringComparator.ByteComparableClustering.new ByteSource() {...},119,0,18,0,23,0,11,0,2,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,Slice,243,213,58,26,43,35,42,19,5,14
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,BufferClusteringBoundary,49,13,0,0,7,3,6,2,6,2
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,PartitionRangeReadCommand.VirtualTablePartitionRangeReadCommand,3,48,0,0,1,7,1,4,1,4
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,SinglePartitionReadCommand.VirtualTableGroup,19,20,1,1,3,4,2,2,1,2
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,RepairedDataInfo.RepairedDataPurger,8,31,0,0,2,11,3,5,3,5
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,SimpleBuilders.RowBuilder,194,237,31,27,25,53,27,18,2,13
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,SimpleBuilders.PartitionUpdateBuilder.RTBuilder,72,0,0,0,21,0,8,0,8,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,PartitionRangeReadCommand.new Transformation() {...},24,27,3,1,5,6,2,2,0,2
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,StorageHook,6,12,1,1,1,4,1,2,0,2
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,SimpleBuilders.MutationBuilder,30,105,4,8,3,20,4,7,1,4
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,DeletionPurger,0,34,0,8,0,3,0,8,0,4
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,ReadQuery,2,7,0,0,2,2,2,2,2,2
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,MutationVerbHandler,9,78,0,2,4,23,2,8,2,7
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,Directories.FileType,0,34,0,0,0,4,0,1,0,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,CachedHashDecoratedKey,31,8,2,0,8,3,2,1,1,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,BufferClusteringBound,14,50,1,1,3,9,4,7,3,7
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,Slice.new Slice() {...},3,14,1,1,1,3,2,3,1,3
